槍彈者大師	Bullet Marker Master	불릿 마커 마스터
確認迪比利斯制馭所魔力源	Check the Devries Controller Spell Source	디브리스 제어소 마력원 확인
請確認迪比利斯制馭所魔力源	Go and check the Devries Controller Spell Source	디브리스 제어소 마력원을 확인하세요
收集魔力的精髓	Collect Magic Essence	마력의 정수 수집
啟動迪比利斯制馭所魔力源	Activate the Devries Controller Spell Source	디브리스 제어소 마력원 가동
確認中央研究室魔力源	Check the Central Laboratory's Magic Source	중앙연구실 마력원 확인
請確認中央研究室魔力源	Go and check the Central Laboratory's Magic Source	중앙연구실 마력원을 확인하세요
收集稀微的魔力動力源	Collect faint magic sources	희미한 마력 동력원 수집
啟動中央研究室魔力源	Activate the Central Laboratory's Magic Source	중앙연구실 마력원 가동
確認研究者聚會所魔力源	Check the Researcher Auditorium's Magic Source	연구자 공회당 마력원 확인
請確認研究者聚會所魔力源	Go and check the Researcher Auditorium's Magic Source	연구자 공회당 마력원을 확인하세요
啟動研究者聚會所魔力源	Activate the Researcher Auditorium's Magic Source	연구자 공회당 마력원 가동
與貴金屬收集家對話	Talk to the Jewelry Collector	귀금속 수집가와 대화
收集動力	Collect Power	동력 수집
活化內城壁觀測器	Activate the Device at the Inner Wall	내성벽 관측기 활성화
泰芙林 鐘乳洞 1區域魔力收集	Collect Magic at the Tevhrin Stalactite Cave Section 1	테브린 종유동 1구역의 마력 수집
收集老舊的工具	Collect Old Tools	오래된 도구 수집
附魔師大師對話	Talk with the Enchanter Master	인챈터 마스터와 대화
開啟雷斯勃伊湖邊的寶物箱子	Open the Rasvoy Lake Treasure Chest	래스보이 호숫가의 보물상자 열기
破壞變形的樹根水晶	Destroy the Mutated Tree Root Crystals	변형된 나무뿌리 수정 파괴
收集濃縮魔力的角	Collect Magic Horns	마력이 농축된 뿔 수집
開啟帕馬勒森林的寶物箱子	Open the Phamer Forest Treasure Chest	파마르 숲의 보물상자 열기
收集洞窟膽汁	Collect Cave Sap	동굴 담즙 수집
地瑪蘇高特觀測器活化	Activate the Device at Zima Suecourt	지마 수코트 관측기 활성화
觀測馬勒托斯貯藏室的魔力	Investigate the Martuis Storage Room	마르튀스 저장실의 마력 관측
請破壞皮斯堤斯森林變形的樹根水晶	Destroy the Mutated Tree Root Crystals of Pystis Forest	피스티스 숲의 변형된 나무뿌리 수정 파괴하세요
開啟諾貝禮爾森林的寶物箱子	Open the Nobreer Forest Treasure Chest	노브리어 숲의 보물상자 열기
啟動指定的神壇	Activate only the designated shrines	지정된 신단만을 활성화
收集湛藍夏烏爾拉伯面具	Collect the masks of Blue Siaulavs	푸른 샤울라브 가면 수집
與異地居民馬克對話	Talk to Outsider Mark	타지 주민 마크와 대화
從提尼身上收集發光的提尼的角	Collect Shiny Tini Horns from the Tinis	티니에게서 빛나는 티니의 뿔 수집
與朝聖者伐利亞對話	Talk to Pilgrim Phylia	순례자 필리아와 대화
採摘塔奧瑪斯藥草	Gather Taumas Herbs	타우마스 약초 뜯기
老弱者優先	Being Considerate to Elders	노약자 배려
與朝聖者雅各對話	Talk to Pilgrim Jacob	순례자 제이콥과 대화
從里烏汀荒野的提尼身上找回雅各的遺失行李	Find Jacob's lost baggage from the Tinis at Rjudin Wilderness	리우딘 황야의 티니에게서 제이콥의 잃어버린 짐을 찾기
尋找堅固的樹枝	Find a Sturdy Branch	튼튼한 나뭇가지 구하기
與朝聖者雅各一同前往莎爾比亞斯森林	Go with Pilgrim Jacob towards Salvia Forest	순례자 제이콥과 함께 살비야스 숲 방면으로 이동
與朝聖者布列德對話	Talk to Pilgrim Brad	순례자 브래드와 대화
狩獵提尼收集肉	Collect Tini meat	티니를 사냥하여 고기를 수집
與朝聖者安潔拉對話	Talk to Pilgrim Angela	순례자 안젤라와 대화
與朝聖者布列德一起去打來井水	Get water from the well with Pilgrim Brad	순례자 브래드와 함께 우물물 길어오기
在巴巴爾拉斯空地收集燃料用樹木	Collect Firewood from Vabalas Vacant Lot	바발라스 공터에서 땔감용 나무 수집
與修道士艾丹對話	Talk to Monk Ethan	수도사 에단과 대화
消滅莎爾比亞斯森林方向周圍的怪物	Defeat monsters on the road to Salvia Forest	살비야스 숲 방면 주변의 몬스터 처치
消滅莎爾比亞斯森林方向的怪物	Defeat the monsters on the way to Salvia Forest	살비야스 숲 방면의 몬스터 처치
與朝聖者約旦對話	Talk to Pilgrim Jhodan	순례자 요단과 대화
獵捕赤紅地鼠獸收集皮革	Defeat the Red Spion and gather their hides	붉은 스피온을 사냥하고 가죽 모으기
與朝聖者黛安對話	Talk to Pilgrim Diane	순례자 다이앤과 대화
收集莎爾比亞斯樹叢的果實	Collect berries from Salvia Brambles	살비야스 덤불의 열매를 모으기
與朝聖者貝里對話	Talk to Pilgrim Barry	순례자 배리와 대화
消滅朝聖者貝里附近的怪物	Defeat monsters near Pilgrim Barry	순례자 배리 근처의 몬스터 처치
與信徒布魯特斯對話	Talk to Believer Brutus	신도 브루투스와 대화
帶信徒克拉克去找倒下的朝聖者	Lead Believer Clark to the fallen Pilgrim	신도 클라크를 쓰러진 순례자들에게 인도하기
與信徒克拉克對話	Talk to Believer Clark	신도 클라크와 대화
對黑色氣息的赤紅地鼠獸進行藥物測試	Test the medicine on the Red Spion emitting a black aura	검은 기운의 붉은 스피온에게 약을 시험하기
露出馬腳	Showing True Colors	마각이 드러나다
與信徒克拉克一起跟蹤布魯特斯	Follow Brutus with Believer Clark	신도 클라크와 함께 브루투스 미행
消滅變成魔族的布魯特斯	Defeat Brutus who has become a Demon	마족으로 변한 브루투스 처치
消滅被召喚的魔族	Defeat the summoned Demon	소환된 마족 처치
跟著前往布魯特斯去的地方	Retrace Brutus's path	브루투스가 향한 곳을 뒤따라가기
收集易燃樹葉	Collect flamable leaves	잘 타는 나뭇잎 모으기
消滅莎爾比亞斯森林的怪物	Defeat the monsters in Salvia Forest	살비야스 숲의 몬스터 처치
與朝聖者巴德斯對話	Talk to Pilgrim Vados	순례자 바도스와 대화
與修道士多勒馬對話	Talk to Monk Dorma	수도사 도르마와 대화
解開其他朝聖者們的疑心	Lift the suspicions from the other pilgrims	다른 순례자들의 의심을 풀기
與朝聖者大衛對話	Talk to Pilgrim David	순례자 데이비드와 대화
尋找證明多勒馬是修道士的方法	Find a way for Dorma to prove that she is a monk	도르마가 수도사임을 증명할 방법 찾기
與朝聖者依萊伊對話	Talk to Pilgrim Eli	순례자 일라이와 대화
找出修道士多勒馬的聖水	Find Monk Dorma's Holy Water	수도사 도르마의 성수 찾기
確認朝聖者多勒馬的聖水	Check Monk Dorma's Holy Water	순례다 도르마의 성수를 확인
與朝聖者喬治對話	Talk to Pilgrim George	순례자 조지와 대화
在金卡拉斯蘆葦田收集丟棄的植物球莖	Collect discarded Plant Roots from Gingkaras Reed Field	깅카라스 갈대밭에서 버려진 식물 구근 모으기
與修道士多勒馬一同前往莫巴荒野	Moving to Mova Wilderness with Monk Dorma	수도사 도르마와 함께 모바 황야로 이동
消滅魔族暗殺者	Defeat the Demon Assassin	마족 암살자 처치
在莫巴荒野與朝聖者巴德斯見面	Meet Pilgrim Vados at Mova Wilderness	모바 황야에서 순례자 바도스와 만남
消滅克里那斯森林小路方向的怪物	Defeat the monsters on the road to Grynas Trails	그라나스 숲길 방향 몬스터 처치
收集雷普斯兔子的肉	Collect Lepusbunny Meat	레푸스버니의 고기 수집
消滅黃色杜瑪洛	Defeat Yellow Dumaro	노란 듀마로 처치
救出被魔族追趕的修道士	Rescue the Monk being chased by Demons	마족에게 쫓기는 수도사 구출
與修道士史黛拉對話	Talk to Monk Stella	수도사 스텔라와 대화
消滅襲擊修道士的魔族	Defeat the Demon attacking the Monk	수도사를 습격한 마족 처치
從修道士的墓中尋找魔法道具	Find Magical Equipment from the Monk's grave	수도사에 무덤에서 마법 도구 찾기
在凱特拉墓地尋找修道士的遺物	Find the Monk's Keepsake at Ketra Cemetery	케트라 묘지에서 수도사의 유품 찾기
用怪物的生命力補充鏡子的魔力	Fill the Mirror with the life energy or monsters	몬스터의 생명력으로 거울의 마력을 채우기
與修道士史黛拉前往朝聖者營地	Go with Monk Stella to the Pilgrim Camp	수도사 스텔라와 순례자 캠프로 가기
向沒力氣的朝聖者收集情報	Collect information from the drained pilgrims	기운없는 순례자들에게서 정보 수집
破壞席尼克特空地的黑色水晶	Destroy the Black Crystal at Shinikti Vacant Lot	쉬니크티 공터의 검은 수정 파괴
消滅魔族利泰力斯	Defeat High Officer Domantas	마족 리테리스 처치
消滅幹部都曼塔斯	Defeat High Officer Domantas	간부 도만타스 처치
調查隱者之墓	Examing Hermit's Tomb	은자의 무덤 조사하기
在隱者之墓破壞神聖力抑制裝置	Destroy the Divine Power Suppression Device at the Hermit's Tomb	은자의 무덤에서 신성력 억제장치 파괴
收集歐阿瑟之樹的樹液	Retrieve Oasseu Tree's Sap	오아쓰 나무의 수액 뜨기
與修道士馬達斯對話	Talk to Monk Mattas	수도사 마타스와 대화
帶馬達斯去見史黛拉	Take Mattas to Stella	마타스를 스텔라에게 데려다주기
在里埃卡菲原野破壞神聖力抑制裝置	Destroy the Divine Power Suppression Device at Rijekavi Fields	리에카비 벌판에서 신성력 억제 장치 파괴
與修道士馬達斯對話後收集歐阿瑟之樹的樹液	Collect Oasseu Tree Sap after talking to Monk Mattas	수도사 마타스와 대화 후 오아쓰 나무의 수액 수집
對克拉夏丘陵的裝置使用卷軸	Use the scroll on the Device at Krasjia Hills	크라샤 언덕의 장치에 스크롤 사용
與修道士馬達斯商議過後準備歐阿瑟之樹的樹液並調查克拉夏丘陵的裝置	Prepare Oasseu Tree Sap after discussing with Monk Mattas before going to examine the Device at Krasjia Hill	수도사 마타스와 상의 후 오아쓰 나무의 수액을 준비하여 크라샤 언덕의 장치 조사
對神聖力抑制裝置使用卷軸	Use the scroll on the Divine Power Suppression Device	신성력 억제 장치에 스크롤 사용하기
請對克拉夏丘陵的裝置使用卷軸。	Use the scroll on the Device at Krasjia Hill	크라샤 언덕의 장치에 스크롤을 사용해 보세요.
消滅曼德亞喚來的魔族	Defeat the Demons summoned by Medea	메데야가 불러낸 마족들 처치
與幹部曼德亞對話	Talk to High Officer Medea	간부 메데야와 대화
消滅幹部曼德亞的部下	Defeat High Officer Medea's minions	간부 메데야의 부하 처치
拉曼德亞去見馬達斯	Take Medea to Mattas	메데야를 마타스에게 끌고 가기
救出修道士史黛拉	Rescue Monk Stella	수도사 스텔라 구출
收集神聖力抑制裝置的碎片	Collect Divine Power Suppression Device's Fragments	신성력 억제 장치의 파편 수집
調查無名修道士的墓碑	Examine the Unnamed Monk's Tombstone	무명수도사의 묘비를 조사
消滅誓約紀念地的魔族	Defeat the demons at Oasseu Memorial	오아쓰 기념지의 마족 처치
掃蕩修道院正門前的敵人	Defeat the enemies in front of the abbey	수도원 정문 앞의 적을 소탕
調查門口	Investigate the area in front of the door	문 앞을 조사
護衛史黛拉到光榮禮堂前	Guard Stella to the Hall of Honor	영광의 홀 앞까지 스텔라 호위
與史黛拉一同在書庫找書	Find a book in the Library with Stella	스텔라와 함께 서고에서 책 찾기
保護正在看書的史黛拉	Protect Stella while she is reading	책 읽는 스텔라를 지키기
消滅攻擊史黛拉的怪物	Defeat the monsters attacking Stella	스텔라를 공격하는 몬스터 처치
在聖水盤尋找寶珠	Find an orb near the stoup	성수반에서 보주 찾기
保護正在凝聚神聖力的史黛拉	Protect Stella while she is gathering divine power	신성력을 모으는 스텔라를 지키기
消滅幹部德伊曼塔斯	Defeat High Officer Deimantas	간부 데이만타스 처치
消滅變身成藍色利泰力斯的幹部德依曼塔斯 	Defeat High Officer Deymantas Transformed into a Blue Riteris	푸른 리테리스로 변신한 간부 데이만타스 처치
收集不錯的食材	Collect Edible Food	멀쩡한 식재료 모으기
收集祈禱室的藥草	Collect Herbs from the Prayer Room	기도실의 약초 수집
消滅修道院的魔族	Defeat the demons in the abbey	수도원의 마족 처치
消滅殘餘的赤紅努歐	Defeat the remaining Red Nuo	남아있는 붉은 누오 처치
與夏亞汀的靈魂對話	Talk to the Soul of Hayatin	하야틴의 영혼과 대화
消滅藍色提努和藍色圖約勒	Defeat blue tanus and doyors	푸른 타누와 푸른 도요르 처치
調查卡雷伊比納斯丘陵	Investigate Carejvnes Hill	카레이비네스 언덕을 조사
消滅黃色波利普	Defeating Yellow Polibu	노란 폴리부 처치하기
與維多拉斯的靈魂對話	Talk to the soul of Victoras	빅토라스의 영혼과 대화
收集廢墟殘骸設立簡易慰靈碑	Erect a makeshift memorial monument by collecting the rubbles of the ruins	폐허의 잔해를 모아 간이 위령비 세우기
帶領靈魂們到慰靈碑前	Lead the souls to the memorial monument	위령비 앞으로 영혼들을 인도
燃燒蕨葉堆尋找刻著標誌的石頭	Burn the bracken pile to find the rock with the insignia	고사리 더미를 태워 표식이 새겨진 돌을 찾기
打開文件盒	Open the document box	문서함을 열어보기
潔白的證據	Proof of Innocence	결백의 증거
使用結晶化的魔石尋找鑰匙	Use the crystalized magic stone to find the key	결정화된 마석을 사용해 열쇠를 찾기
在柯拉佩達與雷那對話	Talk to Lena in Klaipeda	클라페다에서 레나와 대화
與鍊金術士蘇菲亞	Talk with Alchemist Sophia	알케미스트 소피야와 대화
消滅紅色魔力鴨	Defeat red ducky	붉은 더키를 처치
破壞紅色魔力鴨的巢	Destroy the egg nest of red ducky	붉은 더키의 알둥지를 파괴
收集蕨葉孢子囊	Collect Yega Bracken Spores	예가 고사리의 포자낭 수집
弱化藍色摩格蘭後催眠牠	Weaken and make blue moglans asleep	푸른 모글란을 약화시킨 후 잠재우기
把藥混入藍色摩格蘭的飼料裡面	Mix the chemical in the food pile for blue moglans	푸른 모글란의 먹이에 약물 섞기
收集亞斯特羅斯藥草	Collect Astrus Herbs	아스트러스 약초 수집
效果驚人	Effect Too Strong	효과가 지나쳤다
在肯陶洛斯附近燃燒亞斯特羅斯藥草	Burn Astrus Herbs around Centaurus	켄타우로스 주위에서 아스트러스 약초 태우기
到肯陶洛斯那裡去	Go to Centaurus	켄타우로스에게 가기
消滅肯陶洛斯後收集水晶	Collect crystals from Centaurus	켄타우로스를 처치하고 수정을 수집
在塞恩特里尼斯原野的土中混和粉塵	Mix Centaurus dust into the dirt of Centrynis Field	센트리니스 벌판의 흙에 분진 뒤섞기
收集乾枯的蕨類葉子與藍色畢托爾的翅膀	Collect wings of blue beetows and dried out brackens	바싹 마른 고사리 잎과 푸른 비토우의 날개 수집
與調查隊長艾爾拉對話	Talk with Investigation Team Head Ella	조사대장 엘라와 대화
收集甕裡的羊皮紙	Retrieve the parchment from the pot	항아리에서 양피지 수집
消滅綠色哥布林回收羊皮紙	Retrieve the parchment from green goblins	초록 고블린을 처치하고 양피지 회수
收集被汙染的樹根汁液	Extract Juice from Contaminated Tree Root	오염된 나무뿌리 즙 수집
在顯眼的地方放置假的羊皮紙	Place false parchment on somewhere noticeable	눈에 띄는 곳에 가짜 양피지 놓기
消滅周圍的哥布林	Defeat nearby goblins	주변의 고블린 처치
消滅覬覦這羊皮紙的元凶	Eliminate the culprit seeking the parchment	양피지를 탐하는 원흉 처리
與調查員凱斯柏對話	Talk with Gasper	조사원 개스퍼와 대화
收集狀況完好的書本	Collect the relatively-undamaged books	아직 온전한 책 수집
從綠色哥布林劍士和突擊兵身上回收遺物	Retrieve keepsakes from green goblin warriors and chargers	초록 고블린 전사와 돌격병에게서 유품 회수
玄找調查隊隱藏在鐘擺內的遺物	Use the Investigation Team Pendulum to find the hidden artifact	조사대 펜듈럼으로 숨겨진 유물 찾기
在鐘擺反應處挖出隱藏的遺物	Dig up the relic from the area detected by the pendulum	펜듈럼이 반응하는 곳에서 숨겨진 유물 파내기
與調查員戶萊以修對話	Talk to Investigator Horatio	조사원 호레이쇼와 대화
去尋找夢魘洞窟	Get the strong vines	질긴 덩굴 구해오기
收集哥布林咒術師的寶石	Collect the Goblin Shaman's Jewels	고블린 주술사의 보석 모으기
消滅周圍的綠色哥布林	Defeat nearby green goblins	주변의 초록 고블린 처치
與暗影師大師對話	Talk with the Shadowmancer Master	섀도우맨서 마스터와 대화
進行暗影適應訓練	Starting Shadow Adaptation Training	그림자 적응 훈련을 진행
與村民奈拉對話	Talk with Villager Nella	마을 주민 넬라와 대화
擊退納漢斯森林的怪物 	Defeat the monsters at Nahash Forest	나하스 숲 몬스터 처치
聽祭司多米尼卡斯傳教	Listen to the sermon of Priest Dominikas	사제 도미니카스의 설교 듣기
祭司多米尼卡斯會訴說有關真理之樹教團的教理。請聽多米尼卡斯傳教。	Listen to the preach of Priest Dominikas	사제 도미니카스가 진리의 나무교단의 교리에 대해 설교하겠다고 합니다. 도미니카스의 설교를 들어보세요.
偏離的信仰	Wrong Faith	어긋난 신앙
用魔族的靈魂來填滿靈魂珠	Fill the soul beads with the spirits of the demons	마족의 영혼으로 영혼 구슬 채우기
與村民鄧肯對話	Talk with Villager Duncan	마을 주민 던컨과 대화
與村民鄧肯一起移動至貝伊拉斯大廳	Move to Veyrhas Hall with Villager Duncan	마을 주민 던컨과 함께 베이라스 홀로 이동
與村民詹姆斯對話	Talk to Villager James	마을 주민 제임스와 대화
收集魔族的紅血	Collect Demon's Red Blood	마족의 붉은 피 수집
交給村民詹姆斯	Deliver it to Villager James	마을 주민 제임스에게 전달
卑劣的伎倆	Dirty Tricks	비열한 술수
搜查黑牆那端的分館研究室	Inspect the Annex Laboratory beyond the Black Wall	검은 벽 너머 별관 연구실 수색
往總館通道移動	Move to the Principal Corridor	본원 통로로 이동
參觀多米尼卡斯的儀式	Attend Dominikas' ritual	도미니카스의 의식 참관
移動至艾高斯修道院總館	Go to the Elgos Abbey Main Building	엘고스 수도원 본원으로 이동
回收假經典	Retrieve the fake scripture	거짓된 경전 회수
飢渴的信仰	Hungry Faith	굶주린 신앙
搜索糧食	Find edible food	먹을 만한 식량 수색
將糧食交給修道士艾高斯	Give the food to the Elgos Monk	엘고스 수도사에게 식량 전달
去找艾高斯修道院院長	Move to the Elgos Abbot	엘고스 수도원장에게 이동
魔族的墮落靈魂	Demon's Fallen Soul	마족의 타락한 영혼
與艾高斯修道院院長對話	Talk to the Elgos Abbot	엘고스 수도원장과 대화
收集魔族的靈魂	Collect Demon Souls	마족의 영혼 수집
擊退魔族後吸收其靈魂	Defeat the demons and absorb their souls	마족 처치 후 영혼 흡수
向聖水祭司大師購買聖水	Purchase Holy Water from the Priest Master	프리스트 마스터에게 성수 구매
將聖水交給艾高斯修道院院長	Give the Holy Water to the abbot	엘고스 수도원장에게 성수 전달
破壞邪惡的神像	Destroy the Sinister Idol	사악한 우상 파괴
為了全然的自由	For Total Freedom	완전한 자유를 위해
移動至帕卡勒瑪禮拜堂	Move to the Pagarba Chapel	파가르마 예배소로 이동
擊退艾高斯修道院總館的魔族	Defeat the demons in the Elgos Abbey Main Building	엘고스 수도원 본원 마족 처치
擊退魔族並吸收其墮落的靈魂	Defeat the demons and absorb their fallen souls	마족을 처치하고 타락한 영혼 흡수
吸收魔族墮落的靈魂	Absorb the demons' fallen souls	마족의 타락한 영혼 흡수
邪惡的魔法陣?	Evil Magic Circles?	사악한 마법진?
貝拉沿岸搜索	Search Vera Coast	베라 연안 수색
搜索其它魔法陣	Search for other magic circles	다른 마법진 수색
尋找清除魔法陣的方法	Find a way to destroy the magic circles	마법진을 없앨 방법 찾기
尋找清除魔法陣的其它方法	Find another way to destroy the magic circles	마법진을 없앨 다른 방법 찾기
尋找破壞魔法陣的其它方法	Find another way to destroy the magic circles	마법진을 파괴할 다른 방법 찾기
試著拋擲珊瑚角碎片	Throw a piece of Coral Horn	산호 뿔 조각 던져보기
再搜索其它魔法陣	Search for more magic circles	또 다른 마법진 수색
和卡巴拉魯塔斯對話	Talk to Kabbalist Lutas	카발리스트 루타스와 대화
和卡巴拉魯塔斯一起往魔法陣移動	Go to the Magic Circle with Kabbalist Lutas	카발리스트 루타스와 마법진으로 이동
吸收大地氣息	Gather Earth Energy	대지의 기운 흡수
回去找卡巴拉魯塔斯	Return to Kabbalist Lutas	카발리스트 루타스에게 돌아가기
吸收調和氣息	Gather Balancing Energy	조화의 기운 흡수
吸收海洋氣息	Gather Sea Energy	바다의 기운 흡수
保護魯塔斯	Protect Lutas	루타스 보호
調和魔法陣	Balancing Magic Circle	조화의 마법진
前往最後魔法陣，移動至巴赫空地	Go to the Bachl Vacant Lot for the Last Magic Circle	마지막 마법진을 향해 바흘 공터로 이동
在魔法陣上灌入調和氣息	Add balancing energy to the magic circle	마법진에 조화의 기운 불어넣기
收集大地氣息	Gather Earth Energy	대지의 기운 모아오기
為保護而進行的束縛	Restrain to Protect	보호를 위한 속박
製作束縛魔法陣	Create a Binding Magic Circle	구속 마법진 만들기
探索危險的束縛魔法陣	Search for Dangerous Binding Magic Circles	위험한 구속 마법진 탐색
與莎勒斯修女院的修女雅伊斯特對話	Talk to Sister Aiste at the Saalus Convent	살러스 수녀원의 수녀 아이스테와 대화
與村長普雷傑對話	Talk to Mayor Frege	촌장 프레제와 대화
與商人西摩那斯對話	Talk to Merchant Simonas	상인 시모나스와 대화
掃蕩露烏比克珊瑚礁的怪物	Sweep the monsters of the Lhu'uvik Coral Reef	루우빅 산호초의 몬스터 소탕
向商人西摩那斯報告	Report to Merchant Simonas	상인 시모나스에게 보고
向難民們收集情報	Gather intel from the refugees	난민들에게 정보 수집
調查克蘭托沿岸散發奇怪氣味的地方	Inspect the spot with a strange smell on Cranto Coast	크란토 연안의 이상한 냄새가 나는 지점 조사
告知商人西摩那斯	Deliver it to Merchant Simonas	상인 시모나스에게 전달
在露烏比克珊瑚礁搜查可疑的袋子	Find the Suspicious Pouches from the Lhu'uvik Coral Reef	루우빅 산호초에서 수상한 주머니 수색
潛伏於露烏比克珊瑚礁，直到犯人出現	Stake out in the Lhu'uvik Coral Reef until the perpetrator shows up	범인이 나타날 때까지 루우빅 산호초에서 잠복
清除克蘭托沿岸剩下的袋子	Remove the remaining pouches on the Cranto Coast	크란토 연안에 남아있는 주머니 제거
將怪物引誘至可疑的袋子那兒	Lure the monsters to the suspicious pouch	수상한 주머니로 몬스터 유인
擊退被氣味引來的怪物	Defeat the lured monsters	냄새에 이끌려 몰려든 몬스터 처치
向商人佩里西亞詢問有關珊瑚的事	Ask Merchant Felicia about the corals	상인 펠리시아에게 산호에 대해 묻기
搜查阿勒琳珊瑚的棲息地	Inspect the habitat of Arnim Coral	아르님 산호의 서식지 수색
與商人佩里西亞對話	Talk to Merchant Felicia	상인 펠리시아와 대화
與難民艾爾尤斯對話	Talk to Refugee Elius	난민 앨리유스와 대화
交給難民艾爾尤斯	Deliver them to Refugee Elius	난민 앨리유스에게 전달
用魔力探測器搜索能打開箱子的工具	Use the Magic Searching Stone to find a tool to open the box	마력 탐지기로 상자를 열 수 있는 도구 수색
交給商人佩里西亞	Deliver it to Merchant Felicia	상인 펠리시아에게 전달
與雕刻師亞捷爾對話	Talk to Dievdirbys Asel	딥디르비 아젤과 대화
尋找查里亞賓溪谷的貓頭鷹雕像	Find the Zaliavin Valley Owl Sculpture	잘리아빈 계곡의 부엉이 조각상 찾기
雕像有什麼事?	What Happened to the Statues?	조각에 무슨 일이?
與沉睡的貓頭鷹雕像對話	Talk to the Sleeping Owl Sculpture	잠든 부엉이 조각상과 대화
保護雕刻師亞捷爾	Protect Dievdirbys Asel	딥디르비 아젤을 보호
收集雕刻師亞捷爾委託的材料	Collect Materials for Dievdirbys Asel	딥디르비 아젤이 부탁한 재료 수집
轉交給雕刻師亞捷爾	Deliver to Dievdirbys Asel	딥디르비 아젤에게 전달
採集黃色薩普斯	Collect Yellow Sapous	노란 사푸스 채집
掃蕩前往米葛蘭丘陵路上的怪物	Clear Out Monsters on the Way to Miglos Hill	미글랑 언덕으로 가는 길의 몬스터 소탕
移動到米葛蘭丘陵的貓頭鷹雕像	Go to the Owl Sculpture in Miglos Hill	미글랑 언덕의 부엉이 조각상으로 이동
掃蕩米葛蘭丘陵的怪物	Clear out Monsters in Miglos Hill	미글랑 언덕의 몬스터 소탕
和在庫波堤領的吵鬧的貓頭鷹雕像對話	Talk to the Raucous Owl Sculpture in Skardus Hill	쿠보티 고개에 있는 떠들썩한 부엉이 조각상과 대화
和吵鬧的貓頭鷹雕像對話	Talk to the Raucous Owl Sculpture	떠들썩한 부엉이상과 대화
收集保護的水晶的材料	Collect Materials for the Protective Crystals	보호의 수정 재료 수집
轉交給吵鬧的貓頭鷹雕像	Deliver to the Raucous Owl Sculpture	떠들썩한 부엉이 조각상에게 전달
與吵鬧的貓頭鷹雕像對話	Talk to the Raucous Owl Sculpture	떠들썩한 부엉이 조각상과 대화
在沉睡的貓頭鷹雕像附近放置保護的水晶	Place the Crystals by the Sleeping Statues	잠든 부엉이 주변에 수정 놓아두기
掃蕩沉睡的貓頭鷹雕像附近的怪物	Clear Out Monsters Around the Sleeping Owl Sculptures	잠든 부엉이 조각상 인근의 몬스터 소탕
消滅沉睡的貓頭鷹雕像附近的怪物	Defeat Monsters Around the Sleeping Owl Sculptures	잠든 부엉이 조각상 인근의 몬스터 처치
與貝勃堤交叉路的著急的貓頭鷹雕像對話	Talk to the Hasty Owl Sculpture at Bevertis Crossroads	베버티 교차로의 다급한 부엉이 조각상과 대화
與斷裂的道路的孤獨的貓頭鷹雕像對話	Talk to the Lonely Owl Sculpture on the Broken Path	끊어진 길에 있는 외로운 부엉이 조각상과 대화
和孤獨的貓頭鷹雕像對話	Talk to the Lonely Owl Sculpture	외로운 부엉이 조각상과 대화
尋找克魯布斯街道的貓頭鷹雕像	Find Owl Sculpture in Grubus Highway	그루부스 가도의 부엉이 조각상 찾기
收集淨化所需的材料	Collect the Materials for Purification	정화에 필요한 재료 수집
除去貓頭鷹雕像附近的邪惡氣息	Remove the Malicious Force Near Owl Sculpture	부엉이 조각상 인근의 사악한 기운 제거
在晶球中填入生命力	Charge the Orb with the Life Force	구슬에 생명력 충전하기
與修練生雷力德對話	Talk to Trainee Leryd	수련생 레리드와 대화
收集怪物露出特徵的部位	Collect the Part that Represts the Monster	몬스터의 특징을 나타내는 부위 수집
轉交給修練生雷力德	Deliever to Trainee Leryd	수련생 레리드에게 전달
與雕刻師魯托藍對話	Talk to Dievdirbys Ruthalen	딥디르비 루탈렌과 대화
在草堆中收集散發出特殊香味的果實	Gather Fruits with a Peculiar Scent from the Bush	풀더미에서 독특한 향이 나는 열매 수집
轉交給雕刻師魯托藍	Deliever to Dievdirbys Ruthalen	딥디르비 루탈렌에게 전달
消滅魯托藍引來的利迪梅得	Exterminate Ridimeds that Ruthalen lured	루탈렌이 유인한 리디메드 처치
找回遺失的雕刻刀	Find the Crafting Knife	잃어버린 조각칼 찾기
與雕刻師埃索爾對話	Talk to Dievdirbys Aisol	딥디르비 에솔과 대화
解決斷裂的道路附近的賽夸伊亞	Defeat Sequoia near the Broken Path	끊어진 길 근처의 세콰이아 처치
與雕刻師亞捷爾一同前往路瓦堤空地	Head down to Laukimo Vacant Lot with Dievdirbys Asel	딥디르비 아젤과 함께 로왁티 공터로 향하기
調查路瓦堤空地	Investigate Laukimo Vacant Lot	루왁티 공터 조사
調查散發邪惡氣息的可疑的草堆	Investigate the Suspicious Greenery for the Source of the Malicious Energy	사악한 기운이 뿜어져나오는 수상한 풀더미 조사
與夏奧雷伊西邊森林的雕刻家泰斯拉對話	Talk to Sculptor Tesla in the Siauliai West Woods	샤울레이 서쪽 숲에 있는 조각가 테슬라와 대화
淨化儀式的材料收集	Collect the Materials for Purification Ritual	정화 의식의 재료 수집
保護進行淨化儀式的亞捷爾遠離怪物	Protect Asel Who From the Monsters While Performing the Ritual	정화 의식 중인 아젤을 몬스터에게서 보호
