警戒兵	Sentinel	경계병
誠實的記錄官(3)	Crazy Archivist (3)	실성한 기록관(3)
我要去找達比歐	I will go see Davio	다비오에게 가 본다고 한다
使用藥似乎沒有什麼效果	Tell him that the medicine won't be effective	약으로 될 것 같지 않다고 한다
關於記錄官尤那斯	About the Archivist Jonas	기록관 요나스에 대해
恢復的記憶	Returned Memories	돌아온 기억
我會跟上去的	I will follow you	따라가겠다고 한다
既然事情已經做完了，我要離開了	My work is done so I'll be going now	할 일을 했으니 가보겠다고 한다
哥拉斯的擔憂(3)	Gorath's Concern (3)	고라쓰의 걱정(3)
莫雷克不在那邊	Tell him that Molich wasn't there	몰렉은 없었다고 한다
因為太恐怖而刻意忽視	Ignore since you are scared	무서우니까 무시한다
札卡里耶爾的眼睛(1)	Eyes of Zachariel (1)	자카리엘의 눈(1)
我會證明自己符合資格的	I am qualified	자격을 증명하겠다고 한다
似乎不太需要的樣子	I won't need it	필요 없을 것 같다고 한다
關於大王的秘寶	About the secret treasures of the Great King	대왕의 비보에 대해
尤那斯的藥(2)	Jonas' Medicine (2)	요나스의 약(2)
取得峽谷梅圖斯	I'll bring you the Canyon Metos	협곡 메토스를 구해온다
我之後會帶回來	I will get it later	나중에 구해 오겠다고 한다
尤那斯的藥(1)	Jonas' Medicine (1)	요나스의 약(1)
我會把金飾品帶回來	I will bring the gold	금붙이를 가져 오겠다고 한다
我沒有理由給	I don't have a reason to give it to him	내가 낼 이유는 없다고 한다
關於尤那斯的狀態	About Jonas' Status	요나스의 상태에 대해
尤那斯的藥(3)	Jonas' Medicine (3)	요나스의 약(3)
我會去找尤那斯	I will go see Jonas	요나스에게 가 보겠다고 한다
我之後會帶來	I will bring it later	나중에 갖다 주겠다고 한다
史學家凱佩克(2)	Historian Kepeck (2)	사학자 케펙(2)
我會幫忙回收支援品	I will bring the supplies back	지원품을 되찾아 주겠다고 한다
休息一下在慢慢找吧	Tell her to take some rest and look for them slowly	쉬고 나서 천천히 찾으라고 한다
淨化1層有毒蒸氣	Purify the Toxic Fumes in 1F	1층 유독증기 정화
詢問修理淨化裝置的方法	Ask how to repair the purifier	정화 장치를 수리하는 방법에 대해 묻는다
應該不會太困難	That seems difficult	어려울 것 같다고 한다
缺少零件的入口淨化裝置	Incomplete Purifier	부품이 빠진 입구 정화장치
確認淨化裝置中	Checking the Purifier	정화장치 확인 중
修理淨化裝置中	Repairing the Purifier	정화장치 수리 중
淨化2樓有毒蒸氣	Purify the Toxic Fumes in 2F	2층 유독증기 정화
修理中央淨化裝置(1)	Fix the Central Purifier (1)	중앙 정화장치 수리(1)
開閥門中	Opening the Valve	밸브 여는 중
修理中央淨化裝置(2)	Fix the Central Purifier (2)	중앙 정화장치 수리(2)
替換零件中	Changing the Part	부품 교체 중
水晶礦山獨眼巨人的襲擊	Cyclops' Attack in the Crystal Mine	수정광산 사이클롭스의 습격
啟動通道淨化裝置(1)	Activate the Passage Purifier (1)	통로 정화장치 가동(1)
啟動通道淨化裝置(2)	Activate the Passage Purifier (2)	통로 정화장치 가동(2)
啟動通道淨化裝置(3)	Activate the Passage Purifier (3)	통로 정화장치 가동(3)
循環淨化裝置的問題(1)	Circulation Purifier Issues (1)	순환 정화장치의 문제(1)
確認淨化管中	Checking the Purifier Pipe	정화관 확인 중
啟動淨化裝置中	Activating the Purifier	정화장치 작동 중
循環淨化裝置的問題(2)	Circulation Purifier Issues (2)	순환 정화장치의 문제(2)
循環淨化裝置的問題(3)	Circulation Purifier Issues (3)	순환 정화장치의 문제(3)
啟動淨化裝置中	Activating the purifier	정화장치 가동 중
停止啟動的輔助淨化裝置(1)	Inoperable Auxiliary Purifier (1)	작동을 멈춘 보조 정화장치(1)
停止啟動的輔助淨化裝置(2)	Inoperable Auxiliary Purifier (2)	작동을 멈춘 보조 정화장치(2)
停止啟動的輔助淨化裝置(3)	Inoperable Auxiliary Purifier (3)	작동을 멈춘 보조 정화장치(3)
上油中	Applying the Oil	기름칠 하는 중
停止啟動的輔助淨化裝置(4)	Inoperable Auxiliary Purifier (4)	작동을 멈춘 보조 정화장치(4)
重新啟動輔助淨化裝置。	The Auxiliary Purifier is working again	보조 정화장치가 다시 작동합니다
破壞主淨化裝置的犯人(1)	Destroyer of the Main Purifier (1)	주 정화장치의 파괴범(1)
破壞主淨化裝置的犯人(2)	Destroyer of the Main Purifier (2)	주 정화장치의 파괴범(2)
回收零件中	Collecting the Parts	부품 회수 중
破壞主淨化裝置的犯人(3)	Destroyer of the Main Purifier (3)	주 정화장치의 파괴범(3)
已點亮營火	Bonfire lit up	모닥불이 켜졌습니다
王室的封印(1)	Seal of the Royal Family (1)	왕가의 봉인(1)
前往拉姆斯堤斯峽谷解除封印	I'll go to Ramstis Ridge and release the seals	람스티스 협곡으로 가서 봉인을 풀겠다고 한다
王室的封印(2)	Seal of the Royal Family (2)	왕가의 봉인(2)
我會解除封印	I will unleash the seal	봉인을 풀겠다고 한다
到此為止吧	I won't do it anymore	그만 하겠다고 한다
召募傭兵(1)	Recruiting Mercenaries (1)	용병 모집(1)
我很有興趣	I am interested	관심 있다고 한다
召募傭兵(2)	Recruiting Mercenaries (2)	용병 모집(2)
我會去拾取能當作證據的盜墓裝備	I'll pick up and bring the tools for excavation for evidence	증거가 될 만한 도굴 장비를 주워 오겠다고 한다
我不要做那種事情	I won't do such job	그런 일은 하지 않겠다고 한다
無止盡的委託(1)	Unfinished Commission (1)	끝나지 않은 의뢰(1)
我會去尋找遺物	I will find the artifacts	유물을 찾아 주겠다고 한다
去找更強的人	Tell him to look for more stronger person	더 강한 사람을 찾으라고 한다
關於吃石頭的怪物	About the monsters that eat stones	돌을 먹는 몬스터에 대해
觀察石材中	Looking at the stone	석재를 살펴 보는 중
無止盡的委託(2)	Unfinished Commission (2)	끝나지 않은 의뢰(2)
我會幫忙消滅怪物	I will help in defeating the monsters	몬스터 처치를 도와 주겠다고 한다
阿爾庫內階梯下方的石柱	The Stone Pillar Beneath Alkune Stairway	알쿠네 계단 아래쪽의 돌기둥
阿爾庫內階梯正下方的石柱	The Stone Pillar Above Alkune Stairway	알쿠네 계단 바로 위의 돌기둥
在柱子上採集石頭中	Collecting the stones from the pole	기둥에서 돌 채취 중
長橋溪谷角落的石柱	The Stone Pillar at Overlong Bridge Valley	긴다리 계곡 구석의 돌기둥
商人的傭兵	Merchant's Mercenary	상인의 용병
如果遇見的話，會轉告他快點回營區	Tell him that you will tell them to go back to the camp if you see them	보게 되면 캠프로 돌아가라는 말을 전해 주겠다고 한다
利特的苦衷	Lindt's Matters	린트의 사정
我會幫忙尋找補給品	I will help finding the supplies	보급품을 찾는 것을 도와 주겠다고 한다
我已經幫忙傳話，現在要離開了	Tell him you will go since you passed the words	말을 전했으니 가겠다고 한다
有效的鎮痛劑	Effective Painkillers	효과적인 진통제
那種程度我能夠幫忙	I will get them	그 정도는 구해줄 수 있다고 한다
我身上沒有任何東西	I don't have anything	가지고 있는 것이 없다고 한다
準備回家	Ready to Return Home	귀가 준비
為了利特消滅怪物吧	Defeat monsters for Lindt	린트를 위해 몬스터를 처치해 주자
適當休息後在離開吧	Take a rest before you go	적당히 쉬었다 가라고 한다
關於薩厄加斯的情報(1)	Information about Saugas (1)	사우가스에 대한 정보(1)
我會幫助埃塔	Then I'll help Eta	그럼 에타를 돕겠다고 한다
太逞強了	That is impossible	무리라고 말한다
關於薩厄加斯的情報(2)	Information about Saugas (2)	사우가스에 대한 정보(2)
關於薩厄加斯的情報(3)	Information about Saugas (3)	사우가스에 대한 정보(3)
我會試試看	I will try	해보겠다고 한다
自己看著辦吧	Tell him to do it himself	그냥 알아서 하라고 한다
放石頭中	Putting the stones	돌을 놓는 중
關於薩厄加斯的情報(4)	Information about Saugas (4)	사우가스에 대한 정보(4)
我會試著再設置看看	Tell him to install it again	다시 설치해 보겠다고 한다
親自去試試看吧	Tell him to do it himself	직접 하라고 한다
尋找補給隊隊長皮歐的部下	Find the Supply Commander's Junior	보급대 대장 비오의 부하 찾기
王室的封印(4)	Seal of the Royal Family (4)	왕가의 봉인(4)
我會解開聖所的封印	I will unleash the seal of the divine place	성소의 봉인을 풀겠다고 한다
關於札卡里耶爾王的封印	About King Zachariel's seal	자카리엘 왕의 봉인에 대해
解除封印中	Unleashing the seal	봉인 해제 중
探訪礦山村莊(1)	Investigating Miners' Village (1)	광산 마을 탐문(1)
回收救濟品	Aid Recovery	구호품 회수
我會去回收救濟品	I'll help retrieve the relief supplies	구호품 회수를 돕겠다고 한다
礦山所長布林肯的獻身(1)	Mine Manager Brinker's Dedication (1)	광산 소장 브링커의 헌신(1)
我會收集適當的石頭	I'll gather some stones for it	적당한 돌을 모아 오겠다고 한다
還是快點逃跑會比較好	Better run away quickly	그냥 빨리 도망가는 것이 좋겠다고 한다
礦山所長布林肯的獻身(2)	Mine Manager Brinker's Dedication (2)	광산 소장 브링커의 헌신(2)
我會去消滅周圍的怪物	I'll defeat the monsters around	주변의 몬스터를 처치해 주겠다고 한다
治療師小姐的煩惱(1)	Healer Lady's Worry (1)	치유사 아가씨의 고민(1)
我會去帶難民回來	I'll bring the refugees	피난민을 데려 오겠다고 한다
說明治療師小姐的位置中	Explaining the location of the Healer Lady	치유사 아가씨의 위치 설명 중
治療師小姐的煩惱(2)	Healer Lady's Worry (2)	치유사 아가씨의 고민(2)
我會去消滅具威脅性的怪物	I'll defeat the menacing monsters	위협적인 몬스터를 처치하겠다고 한다
布貝的侵略	Invasion of the Vubbes	부베의 침략
我要去布貝基地消滅布貝	I'll go to the Vubbe's base and defeat them	부베 기지로 가서 부베들을 처치하겠다고 한다
置之不理	Disregard	외면한다
被綁架的人們	Kidnapped Villagers	납치된 사람들
詢問進入水晶礦山的方法	Ask how to enter the Crystal Mine	수정광산으로 들어 갈 방법을 묻는다
為拜杜塔斯鬆綁中	Releasing Vaidotas	바이도타스를 풀어주는 중
可疑的寶箱	Suspicious Treasure Chest	수상한 보물 상자
前往礦山	To the Mines	광산으로
我要破壞推車	I'm ready to destroy the wagons	수레를 파괴하겠다고 한다
還沒準備好	I'm not yet prepared	아직 준비가 덜됐다고 한다
守護者淨化裝置	Guardian Purifying Device	수호자 정화 장치
前往淨化被汙染的守護者	Go to purify the corrupted Guardian	더럽혀진 수호자를 정화하러 간다
保留	I'll wait a little bit	보류한다
破壞水晶裝置	Destroying the Guardian Device	수호장치 파괴
破壞被汙染的守護裝置	Destroy the corrupted protecting device	더럽혀진 수호장치를 파괴한다
設置誘餌中	Setting the baits	미끼 설치 중
重新利用(1)	Recycling (1)	재활용(1)
讓忘記任務的守護者回歸王陵	Let's remove those Guardians from the Royal Mausoleum	임무를 잊은 수호자를 왕릉으로 되돌리자
重新利用(2)	Recycling (2)	재활용(2)
尋找艾哈特	Let's look for Achat	에하트를 찾아보자
保留	Let's postpone	보류하자
治療師小姐的煩惱(3)	Healer Lady's Worry (3)	치유사 아가씨의 고민(3)
學習技能吧	Learning Skills	스킬을 배워보자
讓技能變熟練	I'd like to learn some skills	스킬을 익혀본다
給我多一點時間考慮	Give me some time to think about it	잠시 고민할 시간을 달라고 한다
請點擊'F3'鍵確認技能。	You can check your skills by pressing the F3 key	'F3' 키를 눌러 스킬을 확인하세요
被染黑的名譽(1)	Black-colored Honor (1)	검게 물든 명예(1)
破壞被汙染的守護者	Destroy the corrupted Guardian	오염된 수호자를 파괴한다
被染黑的名譽(2)	Black-colored Honor (2)	검게 물든 명예(2)
收集濃縮的魔力源	Collect condensed magic power	응축된 마력원을 모아온다
被染黑的名譽(3)	Black-colored Honor (3)	검게 물든 명예(3)
消滅被汙染的守護者	Destroy the corrupted Guardian	오염된 수호자를 처치한다
契約到期	Expired Contract	계약만료
就這麼辦吧	Say that you will do it	그러겠다고 한다
自己親自去轉達吧	Tell him to give it to him directly	직접 전해 주라고 한다
崩潰的守護體系	Collapsed Protection System	무너진 수호체계
修理破碎的王陵守護者	Repair the broken Royal Mausoleum Guardian	부서진 왕릉 수호자를 수리한다
來自森林的不速之客	Unwelcome Guest from the Forest	숲에서 온 불청객
這件事很簡單	It's easy	쉬운 일이라고 한다
礙眼的傢伙們	Irritating Pricks	거슬리는 녀석들
永生的豬籠草(1)	The Immortal Nepenthes (1)	영생의 네펜더스(1)
永生的豬籠草(2)	The Immortal Nepenthes (2)	영생의 네펜더스(2)
我會快去快回	I'll be back quickly	빨리 다녀오겠다고 한다
看起來不太可能的樣子	Impossible	불가능해 보인다고 한다
看守者的潛力(1)	The Watcher's Potential (1)	파수꾼의 저력(1)
立刻同意	Accept immediately	당장 수락한다
看守者的潛力(2)	The Watcher's Potential (2)	파수꾼의 저력(2)
試著再相信一次	Trust him one more time	한 번만 더 믿어본다
我會幫忙消滅魔族	I'll defeat the demons	마족들을 없애 주겠다고 한다
反轉	Obversion	뒤집기
這個意見相當有道理	That's a reasonable opinion	일리 있는 의견이라고 한다
越來越渺茫的希望	Grown Apart From Hope	멀어지는 희망
立刻進行追蹤	I will chase it immediately	바로 추격하기로 한다
還沒準備好	I'm not ready yet	아직 준비가 덜 되었다고 한다
露克立斯的遺產	Ruklys' Inheritance	루클리스의 유산
我會負責修復	I'll restore it	복원하겠다고 한다
請等一下	Wait for a while	잠시 기다리라고 한다
復原紀念碑中	Restoring the Monument	추모비 복원 중
好奇心殺死了金石學者	Curiosity Killed the Epigraphist	호기심이 금석학자를 죽인다
我會陪伴到最後一刻	I'll stay with you till the end	마지막까지 함께 해주겠다고 한다
