攻擊	Attack	공격
[仙人掌妖精] 物理毒屬性打擊	[Cactusvel] Physical Poison Property Strike	[캑터스벨] 물리 독속성 타격
[仙人掌妖精] 物理無屬性打擊	[Cactusvel] Physical Non-Property Strike	[캑터스벨] 물리 무속성 타격
[仙人掌妖精] 物理無屬性魔法	[Cactusvel] Physical Non-Property Magic	[캑터스벨] 물리 무속성 마법
[鎖鏈羅德] 物理無屬性魔法	[Tomblord] Physical Non-Property Magic	[툼로드] 물리 무속성 마법
[尖角皮德蟲] 物理毒屬性打擊	[Ravinepede] Physical Poison Property Strike	[라바인피드] 물리 독속성 타격
[尖角皮德蟲] 魔法無屬性魔法	[Ravinepede] Magic Non-Property Magic	[라바인피드] 매직 무속성 마법
[奇魯毛蟲獸] 物理無屬性打擊	[Kirmelich] Physical Non-Property Strike	[키르멜리치] 물리 무속성 타격
[奇魯毛蟲獸] 物理無屬性刺擊	[Kirmelich] Physical Non-Property Pierce	[키르멜리치] 물리 무속성 찌르기
[那克提斯] 魔法無屬性魔法	[Naktis] Magic Non-Property Magic	[나크티스] 매직 무속성 마법
[惡魔葛洛夫] 物理無屬性打擊	[Devilglove] Physical Non-Property Strike	[데블글로브] 물리 무속성 타격
[惡魔葛洛夫] 魔法無屬性打擊	[Devilglove] Magic Non-Property Strike	[데블글로브] 매직 무속성 타격
[地獄三頭犬] 物理無屬性打擊	[Kelberos] Physical Non-Property Strike	[켈베로스] 물리 무속성 타격
[地獄三頭犬] 物理無屬性魔法	[Kelberos] Physical Non-Property Magic	[켈베로스] 물리 무속성 마법
[米諾牛頭怪] 物理火屬性打擊	[Minotaurs] Physical Fire Property Strike	[미노타우로스] 물리 화속성 타격
[米諾牛頭怪] 魔法火屬性魔法	[Minotaurs] Magic Fire Property Magic	[미노타우로스] 매직 화속성 마법
[米諾牛頭怪] 物理火屬性魔法	[Minotaurs] Physical Fire Property Magic	[미노타우로스] 물리 화속성 마법
[死靈查普利] 物理暗屬性斬擊	[Chapparition] Physical Dark Property Slash	[채퍼리션] 물리 암속성 베기
[死靈查普利] 魔法暗屬性魔法	[Chapparition] Magic Dark Property Magic	[채퍼리션] 매직 암속성 마법
[巨魔蠍] 物理無屬性斬擊	[Scorpio] Physical Non-Property Slash	[스콜피오] 물리 무속성 베기
[巨魔蠍] 物理無屬性刺擊	[Scorpio] Physical Non-Property Pierce	[스콜피오] 물리 무속성 찌르기
[莫厄] 物理無屬性刺擊	[Moa] Physical Non-Property Pierce	[모아] 물리 무속성 찌르기
[莫厄] 物理無屬性打擊	[Moa] Physical Non-Property Strike	[모아] 물리 무속성 타격
[莫厄] 物理無屬性斬擊	[Moa] Physical Non-Property Slash	[모아] 물리 무속성 베기
[巨魔蠍] 物理毒屬性魔法	[Scorpio] Physical Poison Property Magic	[스콜피오] 물리 독속성 마법
[佛朗布] 魔法無屬性魔法	[Bramble] Magic Non-Property Magic	[브람블] 매직 무속성 마법
[佛朗布] 魔法暗屬性魔法	[Bramble] Magic Dark Property Magic	[브람블] 매직 암속성 마법
[葛雷斯墨爾] 物理無屬性打擊	[Glass_Mole] Physical Non-Property Strike	[글래스몰] 물리 무속성 타격
[葛雷斯墨爾] 物理無屬性刺擊	[Glass_Mole] Physical Non-Property Pierce	[글래스몰] 물리 무속성 찌르기
[巨眼丹提] 魔法無屬性魔法	[Denoptic] Magic Non-Property Magic	[덴옵틱] 매직 무속성 마법
[巨眼丹提] 魔法無屬性打擊	[Denoptic] Magic Non-Property Strike	[덴옵틱] 매직 무속성 타격
[死亡魔女] 物理無屬性魔法	[Deathweaver] Physical Non-Property Magic	[데스위버] 물리 무속성 마법
[死亡魔女] 魔法無屬性魔法	[Deathweaver] Magic Non-Property Magic	[데스위버] 매직 무속성 마법
[死亡魔女] 物理無屬性刺擊	[Deathweaver] Physical Non-Property Pierce	[데스위버] 물리 무속성 찌르기
[神殿射手] 物理無屬性刺擊	[Templeshooter] Physical Non-Property Pierce	[템플슈터] 물리 무속성 찌르기
[神殿射手] 魔法無屬性魔法	[Templeshooter] Magic Non-Property Magic	[템플슈터] 매직 무속성 마법
[邪惡寶箱怪] 物理暗屬性打擊	[Unknocker] Physical Dark Property Strike	[언낙커] 물리 암속성 타격
[邪惡寶箱怪] 物理暗屬性魔法	[Unknocker] Physical Dark Property Magic	[언낙커] 물리 암속성 마법
[邪惡寶箱怪] 魔法暗屬性打擊	[Unknocker] Magic Dark Property Strike	[언낙커] 매직 암속성 타격
[庫勒坤魔牛] 物理無屬性打擊	[Gorgon] Physical Non-Property Strike	[고르곤] 물리 무속성 타격
[庫勒坤魔牛] 物理暗屬性打擊	[Gorgon] Physical Dark Property Strike	[고르곤] 물리 암속성 타격
[庫勒坤魔牛] 魔法暗屬性魔法	[Gorgon] Magic Dark Property Magic	[고르곤] 매직 암속성 마법
[木乃伊賈西特] 物理暗屬性打擊	[Mummyghast] Physical Dark Property Strike	[머미가스트] 물리 암속성 타격
[木乃伊賈西特] 物理暗屬性 刺擊	[Mummyghast] Physical Dark Property Pierce	[머미가스트] 물리 암속성 찌르기
[木乃伊賈西特] 魔法暗屬性魔法	[Mummyghast] Magic Dark Property Magic	[머미가스트] 매직 암속성 마법
[希德拉] 物理水屬性魔法	[Hydra] Physical Ice Property Magic	[히드라] 물리 수속성 마법
[希德拉] 魔法水屬性魔法	[Hydra] Magic Ice Property Magic	[히드라] 매직 수속성 마법
[希德拉] 物理無屬性刺擊	[Hydra] Physical Non-Property Pierce	[히드라] 물리 무속성 찌르기
[希德拉] 物理無屬性斬擊	[Hydra] Physical Non-Property Slash	[히드라] 물리 무속성 베기
[鎖鏈羅德] 魔法無屬性魔法	[Tomblord] Magic Non-Property Magic	[툼로드] 매직 무속성 마법
[遠古石龜獸_TEST] 物理無屬性打擊	[Rocktortuga_TEST] Physical Non-Property Strike	[락토르투가_TEST] 물리 무속성 타격
[女妖克萊默] 物理毒屬性打擊	[Clymen] Physical Poison Property Strike	[클라이멘] 물리 독속성 타격
[地心蟲王] 物理無屬性打擊	[Reaverpede] Physical Non-Property Strike	[리버피드] 물리 무속성 타격
[柯里曼希亞] 物理無屬性打擊	[Colimencia] Physical Non-Property Strike	[콜리멘시아] 물리 무속성 타격
[女妖克萊默] 物理毒屬性魔法	[Clymen] Physical Poison Property Magic	[클라이멘] 물리 독속성 마법
[柯里曼希亞] 物理無屬性魔法	[Colimencia] Physical Non-Property Magic	[콜리멘시아] 물리 무속성 마법
[柯里曼希亞] 魔法無屬性魔法	[Colimencia] Magic Non-Property Magic	[콜리멘시아] 매직 무속성 마법
[南瓜燈籠怪] 物理無屬性打擊	[Jack-o-Lantern] Physical Non-Property Strike	[잭오랜턴] 물리 무속성 타격
[南瓜燈籠怪] 物理火屬性打擊	[Jack-o-Lantern] Physical Fire Property Strike	[잭오랜턴] 물리 화속성 타격
[魔斯怪] 物理電氣屬性刺擊	[Mothstem] Physical Lightning Property Pierce	[모스템] 물리 전기속성 찌르기
[魔斯怪] 物理電氣屬性魔法	[Mothstem] Physical Lightning Property Magic	[모스템] 물리 전기속성 마법
[凱吉青苔泥人] 物理無屬性打擊	[Gauge Golem] Physical non-Property damage	[게이징 골렘] 물리 무속성 타격
[孟堤肯] 物理無屬性斬擊	[Mentiken] Physical Non-Property Slash	[맨티켄] 물리 무속성 베기
[莫亞班羅喀] 物理無屬性打擊	[Moyabruka] Physical Non-Property Strike	[모야브루카] 물리 무속성 타격
[貝洛查德] 物理無屬性打擊	[Velorchard] Physical Non-Property Strike	[벨로차드] 물리 무속성 타격
[虛拿因] 物理無屬性打擊	[Shnayim] Physical Non-Property Strike	[쉬나임] 물리 무속성 타격
[夏勒琵雅] 物理無屬性斬擊	[Harpeia] Physical Non-Property Slash	[하르피아] 물리 무속성 베기
[鎖鏈羅德] 魔法無屬性刺擊	[Tomblord] Magic Non-Property Pierce	[툼로드] 매직 무속성 찌르기
[艾哈特] 物理電氣屬性魔法	[Achat] Physical Lightning Property Magic	[에하트] 물리 전기속성 마법
[虛拿因] 物理電氣屬性魔法	[Shnayim] Physical Lightning Property Magic	[쉬나임] 물리 전기속성 마법
[孟堤肯] 物理毒屬性魔法	[Mentiken] Physical Poison Property Magic	[맨티켄] 물리 독속성 마법
[凱吉青苔泥人] 物理火屬性打擊	[Gazing Golem] Physical Fire Property Strike	[게이징 골렘] 물리 화속성 타격
[凱吉青苔泥人] 物理火屬性魔法	[Gazing Golem] Physical Fire Property Magic	[게이징 골렘] 물리 화속성 마법
[地心蟲王] 魔法毒屬性魔法	[Reaverpede] Magic Poison Property Magic	[리버피드] 매직 독속성 마법
[地心蟲王] 物理毒屬性魔法	[Reaverpede] Physical Poison Property Magic	[리버피드] 물리 독속성 마법
[孟堤肯] 物理無屬性魔法	[Mentiken] Physical Non-Property Magic	[맨티켄] 물리 무속성 마법
[孟堤肯] 物理無屬性 刺擊	[Mentiken] Physical Non-Property Pierce	[맨티켄] 물리 무속성 찌르기
[貝洛查德] 魔法毒屬性魔法	[Velorchard] Magic Poison Property Magic	[벨로차드] 매직 독속성 마법
[貝洛查德] 物理無屬性魔法	[Velorchard] Physical Non-Property Magic	[벨로차드] 물리 무속성 마법
[魔地獸] 物理毒屬性魔法	[Moldyhorn] Physical Poison Property Magic	[몰디혼] 물리 독속성 마법
[魔地獸] 物理無屬性打擊	[Moldyhorn] Physical Non-Property Strike	[몰디혼] 물리 무속성 타격
[魔地獸] 魔法毒屬性魔法	[Moldyhorn] Magic Poison Property Magic	[몰디혼] 매직 독속성 마법
[樹林巨獸] 魔法無屬性刺擊	[Giant Wood Goblin] Magic Non-Property Pierce	[자이언트 우드 고블린] 매직 무속성 찌르기
[樹林巨獸] 物理無屬性打擊	[Giant Wood Goblin] Physical Non-Property Strike	[자이언트 우드 고블린] 물리 무속성 타격
[葛雷斯墨爾] 魔法無屬性打擊	[Glass_Mole] Magic Non-Property Strike	[글래스몰] 매직 무속성 타격
[夏勒琵雅] 物理無屬性刺擊	[Harpeia] Physical Non-Property Pierce	[하르피아] 물리 무속성 찌르기
[夏勒琵雅] 魔法無屬性魔法	[Harpeia] Magic Non-Property Magic	[하르피아] 매직 무속성 마법
[夏勒琵雅] 物理電氣屬性魔法	[Harpeia] Physical Lightning Property Magic	[하르피아] 물리 전기속성 마법
[拉查托特] 物理水屬性魔法	[Rajatoad] Physical Ice Property Magic	[라자토드] 물리 수속성 마법
[瑪爾雷飛龍] 物理水屬性打擊	[Mallet Wyvern] Physical Ice Property Strike	[말렛와이번] 물리 수속성 타격
[瑪爾雷飛龍] 物理水屬性魔法	[Mallet Wyvern] Physical Ice Property Magic	[말렛와이번] 물리 수속성 마법
[摩吉] 物理無屬性斬擊	[Merge] Physical Non-Property Slash	[머지] 물리 무속성 베기
[摩吉] 物理無屬性刺擊	[Merge] Physical Non-Property Pierce	[머지] 물리 무속성 찌르기
[獨角獸] 物理無屬性刺擊	[Unicorn] Physical Non-Property Pierce	[유니콘] 물리 무속성 찌르기
[獨角獸] 物理暗屬性刺擊	[Unicorn] Physical Dark Property Pierce	[유니콘] 물리 암속성 찌르기
[獨角獸] 物理暗屬性斬擊	[Unicorn] Physical Dark Property Slash	[유니콘] 물리 암속성 베기
[獨角獸] 魔法暗屬性魔法	[Unicorn] Magic Dark Property Magic	[유니콘] 매직 암속성 마법
[南瓜燈籠怪] 物理火屬性刺擊	[Jack-o-Lantern] Physical Fire Property Pierce	[잭오랜턴] 물리 화속성 찌르기
[杰斯提] 魔法暗屬性魔法	[Gesti] Magic Dark Property Magic	[제스티] 매직 암속성 마법
[灰色青苔泥人] 物理地屬性打擊	[Golem_Gray] Physical Earth Property Strike	[회색 골렘] 물리 땅속성 타격
[灰色青苔泥人] 物理地屬性魔法	[Golem_Gray] Physical Earth Property Magic	[회색 골렘] 물리 땅속성 마법
[摩洛克]基本一般攻擊	[Molich]Basic Normal Attack	[몰레크]베이직 일반 공격
[希默普] 物理地屬性打擊	[Simorph] Physical Earth Property Strike	[시모프] 물리 땅속성 타격
[豬籠草] 物理地屬性打擊	[Nepenthes] Physical Earth Property Strike	[네펜더스] 물리 땅속성 타격
[豬籠草] 回復 BUFF 技能	[Nepenthes] Heal Buff Skill	[네펜더스] 힐 버프 스킬
[卡普里亞] 物理毒屬性斬擊	[Capria] Physical Poison Property Slash	[카프리아] 물리 독속성 베기
[卡普里亞] 小怪召喚	[Capria] Monster Summon	[카프리아] 쫄몹 소환
[惡靈君主] 召喚物	[Specter Monarch] Summon	[스펙터 군주] 소환물
[尼多普巴伊] 魔法暗屬性魔法	[Netherbovine] Magic Dark Property Magic	[네더보바인] 매직 암속성 마법
召喚約納喬雷怪物	[Yonazolem Monster Summon]	요나졸렘 몬스터소환
[原野死靈查普利]基本一般暗黑	[Field Chaparition]Basic Normal Dark	[필드 채퍼리션]베이직 일반 암흑
[原野死靈查普利]魔法一般暗黑	[Field Chaparition]Magic Normal Dark	[필드 채퍼리션]매직 일반 암흑
[原野地獄三頭犬]基本一般火焰	[Field Kerberos]Basic Normal Fire	[필드 켈베로스]베이직 일반 화염
[原野地獄三頭犬]魔法魔法火焰	[Field Kerberos]Magic Magic Fire	[필드 켈베로스]매직 매직 화염
[波亞塔] 物理毒屬性打擊	[Poata] Physical Poison Property Strike	[포아타] 물리 독속성 타격
[波亞塔] 物理毒屬性小怪召喚	[Poata] Physical Poison Property Monster Summon	[포아타] 물리 독속성 쫄몹 소환
[赤紅布貝鬥士鬥士] 物理火屬性打擊	[Red Vubbe Fighter] Physical Fire Property Strike	[붉은 부베 투사] 물리 불속성 타격
魔法魔法黑暗	Magic Magic Dark	매직 매직 다크
[布貝鬥士] 物理地屬性小怪召喚	[Vubbe Fighter] Physical Earth Property Monster Summon	[부베 투사] 물리 땅속성 쫄몹 소환
[赤紅布貝鬥士] 物理火屬性小怪召喚	[Red Vubbe Fighter] Physical Fire Property Monster Summon	[붉은 부베 투사] 물리 불속성 쫄몹 소환
[克洛提德] 物理暗屬性 刺擊	[Corrupted] Physical Dark Property Pierce	[코럽티드] 물리 암속성 찌르기
[魔花卡諾波] 小怪召喚	[Carnivore] Monster Summon	[카너버] 쫄몹 소환
[石鯨怪] 小怪召喚	[Stone_Whale] Monster Summon	[석화고래] 쫄몹 소환
[聖殿十字軍大師] 一般攻擊	[Paladin Master] Normal attack	[팔라딘 마스터] 일반 공격
[聖水祭司大師] 一般攻擊	[Priest Master] Normal attack	[프리스트 마스터] 일반 공격
[獵人大師] 一般攻擊	[Hunter Master] Normal attack	[헌터 마스터] 일반 공격
[聖火祭司大師] 一般攻擊	[Krivis Master] Normal attack	[크리비 마스터] 일반 공격
[野蠻人大師] 一般攻擊	[Barbarian Master] Normal attack	[바바리안 마스터] 일반 공격
[鎖鏈法師大師] 一般攻擊	[Linker Master] Normal attack	[링커 마스터] 일반 공격
[巫蠱師大師] 一般攻擊	[Wugushi Master] Normal attack	[무고사 마스터] 일반 공격
[聖者大師] 一般攻擊	[Sadhu Master] Normal attack	[사두 마스터] 일반 공격
[圓盾劍士大師] 一般攻擊	[Rodelero Master] Normal attack	[로델레로 마스터] 일반 공격
[斥候大師] 一般攻擊	[Scout Master] Normal attack	[스카우트 마스터] 일반 공격
[流氓大師] 一般攻擊	[Rogue Master] Normal attack	[로그 마스터] 일반 공격
[武僧大師] 一般攻擊	[Monk Master] Normal attack	[몽크 마스터] 일반 공격
[神諭師大師] 一般攻擊	[Oracle Master] Normal attack	[오라클 마스터] 일반 공격
[德魯伊大師] 一般攻擊	[Druid Master] Normal attack	[드루이드 마스터] 일반 공격
基本攻擊	Basic Attack	기본 공격
弓箭右手(雙手弓專用)	Right-hand Bow (Two-handed Bow only)	보우 오른손(투핸드보우 전용)
對近距離的敵人攻擊(戰士雙手劍專用)	Attack an enemy from a short distance(Warrior's Two-handed Sword only)	근거리의 적에게 공격을 합니다(전사 양손검 전용)
短劍刺擊	Dagger Pierce	단검 찌르기
夢想家	Dream Song	몽왕가
黑影雨傘	Shadow Umbrella	섀도엄브렐러 
開發中	In development	개발중
道具技能	Item skill	아이템 스킬
再次攻擊	Dash Attack	대시 공격
基本攻擊的突擊版本	This is the dash version of the base attack	기본공격의 대시버전입니다
落雷	Zaibas	자이바스
基本	Basic	기본
基本攻擊2	Basic Attack 2	기본 공격2
弓箭左手	Bow Left hand	보우 왼손
弓箭右手(十字弓專用)	Right-hand Bow (Crossbow only)	보우 오른손(크로스보우 전용)
共用_測試1	Public_Test 1	공용_테스트1
火熱1	Mischief 1	화끈1
共用_測試2	Public_Test 2	공용_테스트2
火熱2	Mischief 2	화끈2
共用_測試3	Public_Test 3	공용_테스트3
火熱3	Mischief 3	화끈3
共用_測試4	Public_Test 4	공용_테스트4
火熱4	Mischief 4	화끈4
共用_測試5	Public_Test 5	공용_테스트5
火熱5	Mischief 5	화끈5
冰塊衝擊	Ice paster	아이스 페이스터
重裝步兵	Hoplite	하플라이트
開發進行中	In development	개발 진행 중
防守	Guard	가드
以盾牌擋下敵人的攻擊。[防守點數150]	Block enemy attack with shield [Guard Point 150]	방패로 적의 공격을 막아냅니다. [가드포인트 150]
[青苔泥人卡片] 物理無屬性打擊	[Golem Card] Physical Non-Property Strike	[골렘 카드] 물리 무속성 타격
[蘑菇卡利亞卡片] 物理毒屬性打擊	[Mushcaria Card] Physical Poison Property Strike	[머슈카리아 카드] 물리 독속성 타격
[遠古石龜獸卡片] 物理無屬性打擊	[Rocktortuga Card] Physical Non-Property Strike	[락토르투가 카드] 물리 무속성 타격
