皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
繼續走走過的路	Continue going your way	가던 길을 계속 간다
都是因為蜂蜜(1)	It's the Honey (1)	꿀 때문이야(1)
要去看一下再回來	I'll check it out	살펴보고 오겠다고 한다
因為有點忙，還是拒絕吧	I'm busy so I'll pass	바쁘니까 거절하자
關於村莊	About the town	마을에 대해
都是因為蜂蜜(2)	It's the Honey (2)	꿀 때문이야(2)
我會試著去找	I'll take a look	한 번 찾아 보겠다고 한다
這樣事情就差不多都做完了，直接走吧	I've done enough so just go my way	이 정도면 할 일은 다 한것 같으니 그냥 간다
關於怪物與養蜂	About the monsters and bee farming	몬스터와 양봉에 대해
被毀掉的釀造業	Ruined Brewery	망쳐버린 양조업
我先告辭了	I'll get going then	그만 가보겠다고 한다
釀造業者的希望	Brewer's Last Hope	양조업자의 희망
試著安撫他冷靜	Calm down	진정하라고 달래 본다
關於其他啟示者	About the other Revelator	다른 계시자에 대해
確認中/LOOK/3/TRACK_BEFORE/None	Checking/LOOK/3/TRACK_BEFORE/None	확인하는 중/LOOK/3/TRACK_BEFORE/None
甜蜜的復仇	Sweet Revenge	달콤한 복수
已經幫了該幫的，那我就先走一步了	I've helped enough so I'm leaving	도와줄 만큼 도와줬으니 자리를 뜬다
占領養蜂場的斯帕露娜絲	Apiary-invader Sparnas	양봉장을 장악한 스파르나스
把蜂蜜全吃掉的比特雷巨蜂	Honey-eating Biteregina	꿀을 전부 먹어치운 비테레지나
討厭危險的東西	Dislike for Danger	위험한 건 싫어
我會幫你整理周圍的怪物	I'll take care of the monsters around	주변의 몬스터를 정리해 주겠다고 한다
勸你最好別掉以輕心，回去的路上要小心	Be careful and don't let your guard down on your way back	긴장을 늦추지 말고 조심히 돌아가라고 충고한다
兩個人的友情(1)	Frienship of Two Friends (1)	두 친구의 우정(1)
會幫忙詢問	I'll ask for you	대신 물어봐주겠다고 한다
請加油	Cheer up	힘내라고 한다
兩個人的友情(2)	Frienship of Two Friends (2)	두 친구의 우정(2)
從菁英喬帕露卡身上取得釀酒用具	I'll look for the brewing device from Elite Chuparuca	엘리트 추파루카에게서 양조기구를 찾아보겠다고 한다
懷疑是不是偷拿來的	Doubt if he really didn't siphon it	정말 빼돌린 게 아닌지 의심해 본다
兩個人的友情(3)	Frienship of Two Friends (3)	두 친구의 우정(3)
說會去取得	I'll save it	구해 주겠다고 한다
事情已經解決了就先離開	It's taken care of so leave the place	잘 마무리 되었으니 이만 떠나자
有關米可羅斯與克爾雷歐巴斯	About Mikolas and Cleopas	미콜라스와 클레오파스에 대해
三溪林怪物們的目的(1)	Objective of Monsters in Three Brooks (1)	세개울 몬스터들의 목적(1)
硬要僱用啟示者的理由	Reason behind hiring Revelators	굳이 계시자를 고용하려는 이유
三溪林怪物們的目的(2)	Objective of Monsters in Three Brooks (2)	세개울 몬스터들의 목적(2)
要去確認怪物是否真的是被蜂蜜香氣引來的	I'll check if the monsters are really attracted to the scent of honey	몬스터가 정말 꿀 향기에 이끌리는지 확인해보겠다고 한다
關於祭壇	About the Altar	제단에 대해
三溪林怪物們的目的(3)	Objective of Monsters in Three Brooks (3)	세개울 몬스터들의 목적(3)
會去確認比奇吳祭壇	I'll check Bichiu Altar	비치우 제단을 확인하겠다고 한다
三溪林的祭壇(1)	Altar of Three Brooks (1)	세개울의 제단(1)
要確認看看	I'll check	확인해보겠다고 한다
觀察祭壇中/MAKING/3/TRACK_BEFORE/None	Checking the altar/MAKING/3/TRACK_BEFORE/None	제단을 살펴보는 중/MAKING/3/TRACK_BEFORE/None
三溪林的祭壇(2)	Altar of Three Brooks (2)	세개울의 제단(2)
據說去見祭司比較好	It would be better to meet the priest	사제를 만나보는게 좋을 것 같다고 한다
北邊三溪林祭壇的獨眼巨人	Cyclops of the northern Three Brooks Altar	북쪽 세개울 제단의 사이클롭스
請種田	Help My Farm Recover	농사를 짓게 해주세요
會幫你找農具	I will find the farm tools	농기구를 찾아 주겠다고 한다
確認中/LOOK_SIT/3/TRACK_BEFORE/None	Checking/LOOK_SIT/3/TRACK_BEFORE/None	확인 중/LOOK_SIT/3/TRACK_BEFORE/None
甜甜的真好	Desirable Combs	달콤한게 좋아
會幫忙找	I'll get it	구해주겠다고 한다
播種好可怕	Too Scared to Sow	파종은 무서워
耕作地的秘密(2)	Secret of the Farmland (2)	경작지의 비밀(2)
負起責任去善後	I will take care of it	책임지고 일을 수습하겠다고 한다
裝不知道	Ignore it	모른척한다
關於封印	About the Seal	봉인에 대해
耕作地的秘密(1)	Secret of the Farmland (1)	경작지의 비밀(1)
會啟動守護石	I will activate the Guardian Stone	수호석을 가동하겠다고 한다.
別管了	Let's just leave it	놔두자고 한다.
有關三溪林的治療	About the cure in Three Brooks Woods	세개울 숲에서의 치료에 대해
啟動中/SITABSORB/2/TRACK_BEFORE/None	Activating/SITABSORB/2/TRACK_BEFORE/None	가동시키는 중/SITABSORB/2/TRACK_BEFORE/None
蜂樹樹枝裡蘊含的力量	Power Within the Bee Tree Branch	벌나무 가지에 깃든 힘
收集灰回來	I will collect the ashes	재를 모아 오겠다고 한다
蘊涵女神之力的土地(1)	Land Bestowed with the Goddess' Power (1)	여신의 힘이 깃든 땅(1)
要去補充魔力	I will fill the evil power	마력을 채워 오겠다고 한다
蘊涵女神之力的土地(2)	Land Bestowed with the Goddess' Power (2)	여신의 힘이 깃든 땅(2)
要一點準備的時間	Give me some time to prepare	잠시만 준비할 시간을 달라고 한다
封印塔淨化中/ABSORB/2/TRACK_BEFORE/None	Purifying the Seal Tower/ABSORB/2/TRACK_BEFORE/None	봉인탑 정화 중/ABSORB/2/TRACK_BEFORE/None
奧斯特雅女神的情況	Goddess Austeja's Situation	아우스테야 여신의 사정
聽故事	Listen to the Story	이야기를 듣는다
稍微休息一下吧	Let's rest for a while	조금만 쉬자고 한다
巨大的草的真面目	Identity of the giant grass	거대한 풀의 정체
會去看一下	I will check it out	살펴보겠다고 한다
別在意	Don't mind it	신경쓰지 말라고 한다
為了災難的降臨	The Advent of Disaster	재앙의 강림을 위해
就算是稻草人的手也好(1)	Scarecrow's Hand (1)	허수아비 손이라도(1)
就算是稻草人的手也好(2)	Scarecrow's Hand (2)	허수아비 손이라도(2)
會把它立起來	I'll have it stand	세워두겠다고 한다
取消	Cancel	취소
組裝中/MAKING/3/TRACK_BEFORE/None	Installing/MAKING/3/TRACK_BEFORE/None	설치 중/MAKING/3/TRACK_BEFORE/None
安慰它吧	Comfort him	위로해주자
被蠱惑的啟示者們	Addled Revelators	현혹된 계시자들
詢問找回象徵的方法	Ask how to regain the symbol	상징을 되찾는 방법에 대해 묻는다
是與我無關的事	It's not related to me	나와는 상관 없는 이야기라고 한다
關於春光樹林的封印	About the Seal in Spring Light Wood	봄볕나무 숲의 봉인에 대해
奧斯特雅女神的象徵	Symbol of Goddess Austeja	아우스테야 여신의 상징
復原中/PRAY/3/TRACK_BEFORE/None	Restoring / PRAY / 3 / TRACK_BEFORE / None	복원 중/PRAY/3/TRACK_BEFORE/None
優先治療啟示者們	Curing the Revelators Comes First	계시자들을 치료하는게 우선
粉碎的封印塔(1)	Destroyed Seal Tower (1)	부서진 봉인탑(1)
我會復原封印	I will restore the seal	봉인을 복구하겠다고 한다
關於封印崩壞的原因	Why the seal is destroyed	봉인이 망가진 이유에 대해
女神的力量賦予中/PRAY/3/TRACK_BEFORE/None	Granting the power of Goddess / PRAY / 3 / TRACK_BEFORE / None	여신의 힘을 부여하는 중/PRAY/3/TRACK_BEFORE/None
粉碎的封印塔(2)	Destroyed Seal Tower (2)	부서진 봉인탑(2)
春光樹林祭壇的切波勒	Chafer of the Spring Light Woods	봄볕나무 숲 제단의 체이퍼
摧毀塔的犯人	The Tower's Destroyer	탑을 부서버린 범인
確認中/LOOK_SIT/3/TRACK_BEFORE/None	Checking/LOOK_SIT/3/TRACK_BEFORE/None	확인하는 중/LOOK_SIT/3/TRACK_BEFORE/None
商人遺失的行李	Merchant's Lost Wares	상인의 잃어버린 짐
我會幫你找，你別擔心	I will find it back so don't worry	찾아줄테니 걱정 말라고 한다
關於被蠱惑的啟示者	About the addled Revelators	현혹된 계시자에 대해
確保安全的單行道	Securing a Safe Route	안전한 통행로 확보
我會幫忙消滅怪物	I'll get rid of the monsters	몬스터를 처치해주겠다고 한다
用春光草做的藥	Medicing Made of Spring Light Grass	봄볕초로 만드는 약
直接無視吧	Just ignore it	그냥 무시한다
失敗與成功	Failure and Success	실패와 성공
一步一腳印的收集	Each Step United	한걸음 한걸음이 모여
我會幫忙討伐	I'll help subjugate	토벌을 돕겠다고 한다
貓頭鷹倒下的緣由	Story behind the collapse of the owl	부엉이가 쓰러진 사연
阿姆拉羅丘陵的女神像	Goddess Statue of Amolallul Hill	아몰라룰 언덕의 여신상
斷層地的威脅(1)	Threat of Fault Line (1)	단층지의 위협(1)
要去看一下	I'll go take a look	살펴 보겠다고 한다
斷層地的威脅(2)	Threat of Fault Line (2)	단층지의 위협(2)
會去拯救貓頭鷹們	I'll save the owls	부엉이들을 구해 주겠다고 한다
無法填滿的飢餓感(1)	Insatiable Hunger (1)	채워지지 않는 허기(1)
無法填滿的飢餓感(2)	Insatiable Hunger (2)	채워지지 않는 허기(2)
無法填滿的飢餓感(3)	Insatiable Hunger (3)	채워지지 않는 허기(3)
無法填滿的飢餓感(4)	Insatiable Hunger (4)	채워지지 않는 허기(4)
下次再製作給你	I'll make it next time	다음에 만들어 주자
製作莉莉亞之墓中/SITGROPE/3/TRACK_BEFORE/None	Making a grave for Liliya/ SITGROPE / 3 / TRACK_BEFORE / None	릴리야의 무덤을 만드는 중/SITGROPE/3/TRACK_BEFORE/None
Notice/莉莉亞之墓製作完成。#5	Notice /You made a grave for Liliya # 5	Notice/릴리야의 무덤을 만들어 주었습니다#5
永無止盡的嘴饞(1)	Endless Gluttony (1)	끝없는 식탐(1)
會去找點吃的來	I'll find something to eat	먹을 것을 구해 오겠다고 한다
無視並繼續走曾走過的路	Ignore it and go your way	무시하고 가던 길 간다
永無止盡的嘴饞(2)	Endless Gluttony (2)	끝없는 식탐(2)
永無止盡的嘴饞(3)	Endless Gluttony (3)	끝없는 식탐(3)
會前去尋找尼扣堤亞的嫩葉	I'll get the you leaves of Nicotia	니코티아의 어린 잎을 구해 오겠다고 한다
永無止盡的嘴饞(4)	Endless Gluttony (4)	끝없는 식탐(4)
嘴饞的項鍊	Necklace of Gluttony	식탐의 목걸이
正在挖掘腐爛的肉堆/SITGROPE/3/TRACK_BEFORE/SSN_HATE_AROUND	Digging a bunch of rotten meat/ SITGROPE / 3 / TRACK_BEFORE / SSN_HATE_AROUND	썩은 고기 무더기를 파헤치는 중/SITGROPE/3/TRACK_BEFORE/SSN_HATE_AROUND
餓鬼爭鬥	Argument	아귀다툼
繼續詢問	Continue asking	계속 물어 본다
就走要走的路	Just go your way	그냥 갈 길 간다
不能被搶走(1)	Can't Be Taken Away (1)	빼앗길 수 없어(1)
會去整頓怪物們	I'll take care of the monsters	몬스터들을 정리하고 오겠다고 한다
不能被搶走(2)	Can't Be Taken Away (2)	빼앗길 수 없어(2)
翻找糧食堆中/SITGROPE_LOOP/3/TRACK_BEFORE/SSN_HATE_AROUND	Scouring the food stack/ SITGROPE_LOOP / 3 / TRACK_BEFORE / SSN_HATE_AROUND	식량무지를 뒤지는 중/SITGROPE_LOOP/3/TRACK_BEFORE/SSN_HATE_AROUND
大餓鬼路的糧食堆(1)	Food piles of Starving Demon's Way (1)	큰아귀 길의 식량무지(1)
挖掘中/SITGROPE_LOOP/4/TRACK_BEFORE/None	Digging Through/SITGROPE_LOOP/4/TRACK_BEFORE/None	파 헤치는 중/SITGROPE_LOOP/4/TRACK_BEFORE/None
大餓鬼路的糧食堆(2)	Food piles of Starving Demon's Way (2)	큰아귀 길의 식량무지(2)
大餓鬼路的糧食堆(3)	Food piles of Starving Demon's Way (3)	큰아귀 길의 식량무지(3)
大餓鬼路的糧食堆(4)	Food piles of Starving Demon's Way (4)	큰아귀 길의 식량무지(4)
懶惰的詛咒 - 偷懶	Curse of Sloth - Laziness	나태의 저주 - 게으름
攻擊看看	Try hitting it	한 번 때려 본다
懶惰的詛咒 - 有氣無力	Curse of Sloth - Lethargy	나태의 저주 - 무기력
破壞水晶中/ATK/1/TRACK_BEFORE/SSN_HATE_AROUND	Destroying crystal/ ATK / 1 / TRACK_BEFORE / SSN_HATE_AROUND	수정 파괴 중/ATK/1/TRACK_BEFORE/SSN_HATE_AROUND
破壞樹根水晶中/ATK/1/TRACK_BEFORE/None	Destryong Tree Root Crystal ATK / 1 / TRACK_BEFORE / None	나무 뿌리 수정 파괴 중/ATK/1/TRACK_BEFORE/None
懶惰的詛咒 - 午覺	Curse of Sloth - Siesta	나태의 저주 - 낮잠
觀察水晶中/LOOK/3/TRACK_BEFORE/SSN_HATE_AROUND	Looking at the crystal/ LOOK / 3 / TRACK_BEFORE / SSN_HATE_AROUND	수정을 살펴 보는 중/LOOK/3/TRACK_BEFORE/SSN_HATE_AROUND
破壞樹根水晶中/ATK/1/TRACK_AFTER/None	Desstroying the Tree Root Crystal / ATK / 1 / TRACK_AFTER / None	나무뿌리 수정을 파괴 하는 중/ATK/1/TRACK_AFTER/None
懶惰的詛咒 - 慢	Curse of Sloth - Slow	나태의 저주 - 느림
觀察樹根水晶中/LOOK/2/TRACK_BEFORE/None	Observing the Tree Root Crystal/ LOOK / 2 / TRACK_BEFORE / None	나무뿌리 수정 관찰 중/LOOK/2/TRACK_BEFORE/None
懶惰的詛咒 - 暈倒	Curse of Sloth - Faint	나태의 저주 - 기절
觀察變形的樹根水晶中/LOOK/2/TRACK_BEFORE/None	Looking at the mutated Tree Root Crystal/ LOOK / 2 / TRACK_BEFORE / None	변형된 나무뿌리 수정을 살펴 보는 중/LOOK/2/TRACK_BEFORE/None
正在封印變形的樹根水晶/MAKING/4/TRACK_BEFORE/None	Sealing the mutated Tree Root Crystal/ MAKING / 4 / TRACK_BEFORE / None	변형된 나무뿌리 수정 봉인 중/MAKING/4/TRACK_BEFORE/None
懶惰的詛咒 - 無底洞	Curse of Sloth - Abyss	나태의 저주 - 무저갱
觀察樹根水晶中/LOOK/4/TRACK_BEFORE/None	Look at the Tree Root Crystal / LOOK / 4 / TRACK_BEFORE / None	나무뿌리 수정 살펴 보기/LOOK/4/TRACK_BEFORE/None
懶惰的詛咒 - 水深火熱	Curse of Sloth - Misery	나태의 저주 - 도탄
隨意搖晃變形的樹根水晶中/STANDSHAKE/3/TRACK_BEFORE/SSN_HATE_AROUND	Shaking the mutated Tree Root Crystal / STANDSHAKE / 3 / TRACK_BEFORE / SSN_HATE_AROUND	변형 나무뿌리 수정을 마구 흔드는 중/STANDSHAKE/3/TRACK_BEFORE/SSN_HATE_AROUND
不明所以的事	Mysterious Incident	영문 모를 일
不會妨礙會乖乖待著	I'll just stay and not bother	방해하지 않고 가만 있겠다고 한다
解除憤怒的封印實驗(1)	Raging Soul Releasing Test (1)	분노의 봉인 풀기 시험(1)
詢問要怎麼做才可以	What should I do?	어떻게 하면 되느냐고 물어 본다
手邊原先正進行的事情	What was happening here	여기서 하고 있던 일
正在對祭壇祈禱/WORSHIP/3/TRACK_AFTER/SSN_HATE_AROUND	Praying to the altar / WORSHIP / 3 / TRACK_AFTER / SSN_HATE_AROUND	제단에 기도 하는 중/WORSHIP/3/TRACK_AFTER/SSN_HATE_AROUND
解除憤怒的封印實驗(2)	Raging Soul Releasing Test (2)	분노의 봉인 풀기 시험(2)
解除憤怒的封印實驗(3)	Raging Soul Releasing Test (3)	분노의 봉인 풀기 시험(3)
可以取回	I can get it	구해 올 수 있다고 한다
解除憤怒的封印實驗(4)	Raging Soul Releasing Test (4)	분노의 봉인 풀기 시험(4)
關於憤怒的靈魂	About the angry soul	분노한 영혼들에 관해
靈魂們的憤怒	Rage of the Souls	영혼들의 분노
散佈的階梯	Scattered stairway	흩어진 계단
憤怒的靈魂花瓣	Flowers to the Enraged Soul	분노한 영혼의 꽃잎
祈禱中/WORSHIP/2/TRACK_BEFORE/None	Praying/WORSHIP/2/TRACK_BEFORE/None	기도하는 중/WORSHIP/2/TRACK_BEFORE/None
清除祭壇中/SITGROPE/3/TRACK_BEFORE/None	Cleaning the altar / SITGROPE / 3 / TRACK_BEFORE / None	제단을 치우는 중/SITGROPE/3/TRACK_BEFORE/None
